task,dataset_type,method_base,method_id,top1_hit_rate,any_hit_at_2_rate,precision@1,precision@2,precision@5,precision@10,mean_reciprocal_rank_true,mean_first_true_rank
regression,standard_hard,r_cforest,r_cforest__37be32340835a93b,0.0,0.04,0.0,0.02,0.016,0.008,0.047875327559495015,88.8
regression,toeplitz,cat,cat__024a0842d4337711,1.0,1.0,1.0,1.0,0.9840000000000001,0.708,1.0,1.0
regression,toeplitz,cif,cif__f996d20e25e412cc,1.0,1.0,1.0,1.0,1.0,0.968,1.0,1.0
regression,toeplitz,cit,cit__2cd925b5323e9208,1.0,1.0,1.0,1.0,0.44,0.22,1.0,1.0
regression,toeplitz,et,et__f09eb85fc7f75870,1.0,1.0,1.0,1.0,1.0,0.988,1.0,1.0
regression,toeplitz,lgbm,lgbm__71ba9ba402678146,1.0,1.0,1.0,1.0,0.968,0.644,1.0,1.0
regression,toeplitz,pi,pi__6e89acc5e72da5a8,1.0,1.0,1.0,1.0,0.8959999999999999,0.5760000000000001,1.0,1.0
regression,toeplitz,ptest_dc,ptest_dc__307d6fc3284c28e2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
regression,toeplitz,ptest_pc,ptest_pc__307d6fc3284c28e2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
regression,toeplitz,ptest_rdc,ptest_rdc__307d6fc3284c28e2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
regression,toeplitz,r_cforest,r_cforest__37be32340835a93b,1.0,1.0,1.0,1.0,1.0,0.94,1.0,1.0
regression,toeplitz,rf,rf__aed17443e3db937d,1.0,1.0,1.0,1.0,1.0,0.888,1.0,1.0
regression,toeplitz,rfe,rfe__99914b932bd37a50,1.0,1.0,1.0,0.9,0.664,0.612,1.0,1.0
regression,toeplitz,xgb,xgb__1c62fadfc5e2988f,1.0,1.0,1.0,1.0,0.992,0.7120000000000001,1.0,1.0
regression,toeplitz,boruta,boruta__7f986516a1727870,0.96,1.0,0.96,0.98,0.9840000000000001,0.888,0.98,1.04
regression,toeplitz,cpi,cpi__6e89acc5e72da5a8,0.96,1.0,0.96,0.98,0.688,0.42,0.98,1.04
regression,toeplitz,r_ctree,r_ctree__b6e09ceb0eb26367,0.04,0.12,0.04,0.06,0.23200000000000004,0.15600000000000003,0.3516666666666666,3.24
regression,weak_signal,cat,cat__024a0842d4337711,1.0,1.0,1.0,1.0,1.0,0.9079999999999999,1.0,1.0
regression,weak_signal,cif,cif__f996d20e25e412cc,1.0,1.0,1.0,1.0,1.0,0.804,1.0,1.0
regression,weak_signal,cit,cit__2cd925b5323e9208,1.0,1.0,1.0,1.0,0.976,0.7120000000000001,1.0,1.0
regression,weak_signal,cpi,cpi__6e89acc5e72da5a8,1.0,1.0,1.0,1.0,1.0,0.84,1.0,1.0
regression,weak_signal,et,et__f09eb85fc7f75870,1.0,1.0,1.0,1.0,1.0,0.848,1.0,1.0
regression,weak_signal,lgbm,lgbm__71ba9ba402678146,1.0,1.0,1.0,1.0,1.0,0.924,1.0,1.0
regression,weak_signal,pi,pi__6e89acc5e72da5a8,1.0,1.0,1.0,1.0,1.0,0.8320000000000001,1.0,1.0
regression,weak_signal,ptest_dc,ptest_dc__307d6fc3284c28e2,1.0,1.0,1.0,1.0,1.0,0.8360000000000001,1.0,1.0
regression,weak_signal,ptest_pc,ptest_pc__307d6fc3284c28e2,1.0,1.0,1.0,1.0,1.0,0.8240000000000001,1.0,1.0
regression,weak_signal,ptest_rdc,ptest_rdc__307d6fc3284c28e2,1.0,1.0,1.0,1.0,1.0,0.8240000000000001,1.0,1.0
regression,weak_signal,r_cforest,r_cforest__37be32340835a93b,1.0,1.0,1.0,1.0,1.0,0.796,1.0,1.0
regression,weak_signal,rf,rf__aed17443e3db937d,1.0,1.0,1.0,1.0,1.0,0.872,1.0,1.0
regression,weak_signal,rfe,rfe__99914b932bd37a50,1.0,1.0,1.0,0.94,0.9359999999999999,0.888,1.0,1.0
regression,weak_signal,xgb,xgb__1c62fadfc5e2988f,1.0,1.0,1.0,1.0,1.0,0.868,1.0,1.0
regression,weak_signal,boruta,boruta__7f986516a1727870,0.96,1.0,0.96,0.98,0.9279999999999999,0.84,0.98,1.04
regression,weak_signal,r_ctree,r_ctree__b6e09ceb0eb26367,0.0,0.0,0.0,0.0,0.0,0.036000000000000004,0.07597095379680519,15.92
