method,avg_rank,std_rank,cd
boruta,7.0,0.0,21.448023533674693
cat,7.0,0.0,21.448023533674693
cif,7.0,0.0,21.448023533674693
cpi,7.0,0.0,21.448023533674693
et,7.0,0.0,21.448023533674693
lgbm,7.0,0.0,21.448023533674693
pi,7.0,0.0,21.448023533674693
ptest_mc,7.0,0.0,21.448023533674693
ptest_rdc,7.0,0.0,21.448023533674693
r_ctree,7.0,0.0,21.448023533674693
rf,7.0,0.0,21.448023533674693
rfe,7.0,0.0,21.448023533674693
xgb,7.0,0.0,21.448023533674693
cit,14.0,0.0,21.448023533674693
r_cforest,15.0,0.0,21.448023533674693
