task,downstream_model,n_cells,n_datasets,mean_first_best_k,median_first_best_k,mean_best_k_fraction_of_endpoint,median_best_k_fraction_of_endpoint,under_100_cells,k100_cells,intermediate_cells,endpoint_cells,under_100_share,k100_share,intermediate_share,endpoint_share
classification,all,45,15,1215.0,462.0,0.34703882860775853,0.25,5,5,30,5,0.1111111111111111,0.1111111111111111,0.6666666666666666,0.1111111111111111
classification,knn,15,15,305.4,200.0,0.17768013933950413,0.06,2,2,10,1,0.13333333333333333,0.13333333333333333,0.6666666666666666,0.06666666666666667
classification,lr,15,15,2537.4666666666667,1800.0,0.5938237184373222,0.75,1,0,11,3,0.06666666666666667,0.0,0.7333333333333333,0.2
classification,svm,15,15,802.1333333333333,200.0,0.26961262804644937,0.08698677800974251,2,3,9,1,0.13333333333333333,0.2,0.6,0.06666666666666667
regression,all,18,6,837.9444444444445,75.0,0.23106068032219026,0.04598892037044868,9,2,5,2,0.5,0.1111111111111111,0.2777777777777778,0.1111111111111111
regression,knn,6,6,93.33333333333333,50.0,0.02701008526880594,0.025754351112391646,4,0,2,0,0.6666666666666666,0.0,0.3333333333333333,0.0
regression,ridge,6,6,914.3333333333334,100.0,0.3504123300261952,0.04821297072486187,2,2,0,2,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333
regression,svr,6,6,1506.1666666666667,162.5,0.31575962567156957,0.19358803891370685,3,0,3,0,0.5,0.0,0.5,0.0
