class_weight,max_score,mean_score,min_score,n_estimators,n_jobs,name,random_state,std_score
balanced,1.0,0.9891103649436982,0.9628357753357754,200,-1,wine,1718,0.0147444483486938
balanced,1.0,0.9888888888888889,0.9722222222222221,200,-1,orlraws10P,1718,0.013608276348795495
balanced,1.0,0.9793411372721718,0.9692460317460317,200,-1,glass,1718,0.011195401328330445
balanced,1.0,0.9955555555555555,0.9777777777777779,200,-1,warpPIE10P,1718,0.008888888888888858
balanced,1.0,0.95,0.9166666666666667,200,-1,warpAR10P,1718,0.027216552697590855
balanced,1.0,0.9944444444444445,0.9722222222222221,200,-1,pixraw10P,1718,0.011111111111111162
balanced,1.0,0.9960000000000001,0.98,200,-1,ALLAML,1718,0.008000000000000007
balanced,0.9052188552188553,0.8545374995374996,0.7861111111111111,200,-1,CLL_SUB_111,1718,0.04100237961165715
balanced,0.9935897435897436,0.9794871794871796,0.9615384615384617,200,-1,ORL,1718,0.012429948352349517
balanced,0.9049590455840455,0.8867570716320715,0.8627617521367521,200,-1,TOX_171,1718,0.016015729573373126
balanced,0.9642857142857143,0.875,0.7857142857142857,200,-1,Yale,1718,0.0749149177264394
balanced,0.9986680885424895,0.9965665184624222,0.9923459929021664,200,-1,musk,1718,0.0021867447576839937
balanced,0.9916666666666667,0.9772222222222222,0.9638888888888889,200,-1,vowel-context,1718,0.009026709338484424
balanced,0.9321385188337171,0.9291026666685036,0.9258667314520107,200,-1,gamma,1718,0.0021716799070443504
balanced,0.9769999999999999,0.9726521316669343,0.9703333333333336,200,-1,isolet,1718,0.002350355044304117
balanced,0.9821780215000167,0.9819063841666316,0.981643796695282,200,-1,letter,1718,0.00019000802061393284
balanced,0.8218639053254436,0.7993150887573963,0.778698224852071,200,-1,madelon,1718,0.014813158169312
balanced,0.9298286877997588,0.8792626673530354,0.8382234362055062,200,-1,page-blocks,1718,0.031363572572683206
balanced,0.9969824430924774,0.9953846792114641,0.9942098210723828,200,-1,pendigits,1718,0.00100498523587842
balanced,0.9910729341281729,0.9868348663586903,0.9822615203846876,200,-1,spam,1718,0.0031768641684544858
